id;id_servicio;dias_sem_atencion;hora_inicial;hora_fin;num_afiliados
127;127;D; 22:56:28 ; 23:30:57 ;9
128;128;V; 04:29:02 ; 06:49:21 ;2
129;129;D; 17:19:02 ; 18:23:13 ;1
130;130;V; 02:59:16 ; 05:04:36 ;15
131;131;S; 07:29:50 ; 08:17:11 ;1
132;132;D; 13:37:51 ; 14:15:47 ;10
133;133;S; 21:01:22 ; 21:47:13 ;25
134;134;D; 05:39:20 ; 06:19:43 ;28
135;135;J; 01:46:52 ; 03:23:54 ;20
136;136;D; 07:02:59 ; 09:25:44 ;19
137;137;S; 11:35:16 ; 14:03:52 ;18
138;138;S; 15:48:05 ; 18:12:10 ;7
139;139;D; 17:38:25 ; 20:00:51 ;12
140;140;D; 14:47:00 ; 16:23:43 ;25
141;141;J; 06:53:12 ; 07:37:37 ;13
142;142;D; 17:04:51 ; 19:14:20 ;8
143;143;D; 20:30:14 ; 21:36:07 ;7
144;144;S; 16:19:49 ; 18:39:03 ;25
145;145;D; 06:39:45 ; 08:21:25 ;15
146;146;D; 07:57:56 ; 09:18:32 ;22
147;147;J; 07:26:42 ; 08:57:16 ;8
148;148;L; 05:05:42 ; 07:07:43 ;6
149;149;J; 03:29:41 ; 05:40:36 ;18
150;150;V; 11:53:53 ; 12:33:07 ;29
151;151;J; 21:54:36 ; 22:58:41 ;18
152;152;D; 16:35:10 ; 17:27:21 ;1
153;153;D; 20:05:06 ; 21:47:10 ;3
154;154;S; 11:27:58 ; 13:11:24 ;11
155;155;I; 14:53:11 ; 16:02:41 ;8
156;156;D; 06:58:26 ; 09:13:30 ;18
157;157;D; 12:15:32 ; 13:30:27 ;17
158;158;D; 22:12:49 ; 12:07:56 ;9
159;159;S; 03:01:51 ; 04:03:30 ;23
160;160;S; 21:59:05 ; 22:52:21 ;4
161;161;S; 15:20:04 ; 16:47:41 ;16
162;162;D; 04:48:39 ; 05:59:27 ;8
163;163;D; 09:13:18 ; 11:00:42 ;12
164;164;D; 09:28:30 ; 10:23:30 ;28
165;165;V; 09:00:27 ; 10:04:15 ;10
166;166;D; 03:37:14 ; 05:04:47 ;17
167;167;S; 23:52:59 ; 12:55:58 ;6
168;168;D; 09:33:45 ; 12:03:20 ;5
169;169;D; 23:09:28 ; 12:40:37 ;23
170;170;S; 02:25:10 ; 04:40:31 ;19
171;171;D; 19:48:48 ; 21:54:34 ;21
172;172;D; 04:56:17 ; 05:58:47 ;12
173;173;D; 13:28:27 ; 15:45:53 ;12
174;174;D; 10:09:11 ; 10:42:45 ;9
175;175;V; 00:54:53 ; 03:05:15 ;26
176;176;S; 12:02:46 ; 13:44:14 ;19
177;177;D; 09:41:42 ; 11:36:26 ;20
178;178;S; 03:19:10 ; 05:36:54 ;24
179;179;D; 21:22:27 ; 23:06:08 ;17
180;180;D; 01:59:19 ; 03:21:26 ;2
181;181;D; 21:55:23 ; 23:54:59 ;2
182;182;D; 14:33:59 ; 16:13:04 ;13
183;183;S; 02:27:18 ; 03:02:35 ;5
184;184;J; 10:37:58 ; 12:24:14 ;27
185;185;D; 22:54:49 ; 12:29:56 ;23
186;186;L; 00:19:55 ; 01:52:42 ;23
187;187;D; 10:54:52 ; 12:23:14 ;13
188;188;V; 12:17:45 ; 14:16:39 ;15
189;189;D; 01:13:33 ; 02:21:39 ;13
190;190;S; 17:39:00 ; 19:39:02 ;9
191;191;D; 18:26:01 ; 20:44:37 ;3
192;192;D; 20:50:25 ; 21:42:43 ;5
193;193;S; 08:39:29 ; 09:26:32 ;22
194;194;S; 18:04:27 ; 20:06:21 ;11
195;195;D; 17:02:32 ; 18:22:40 ;12
196;196;D; 10:53:00 ; 11:26:49 ;25
197;197;S; 10:19:23 ; 11:07:46 ;24
198;198;D; 08:27:48 ; 09:27:17 ;20
199;199;V; 15:48:06 ; 17:24:17 ;23
200;200;D; 13:33:07 ; 15:05:15 ;15
201;201;S; 23:51:35 ; 02:09:47 ;28
202;202;J; 06:39:32 ; 08:56:51 ;20
203;203;M; 00:39:59 ; 03:01:58 ;17
204;204;D; 14:02:34 ; 15:43:38 ;7
205;205;V; 12:02:18 ; 13:30:31 ;17
206;206;V; 21:46:55 ; 23:50:15 ;8
207;207;M; 23:12:37 ; 12:29:03 ;18
208;208;V; 14:17:50 ; 14:50:36 ;30
209;209;V; 02:05:52 ; 04:25:38 ;23
210;210;J; 10:43:00 ; 13:08:56 ;23
211;211;J; 11:01:07 ; 12:07:47 ;7
212;212;S; 12:56:10 ; 15:21:22 ;17
213;213;V; 18:28:11 ; 20:52:23 ;19
214;214;V; 13:40:47 ; 15:52:15 ;27
215;215;D; 07:57:51 ; 09:17:07 ;23
216;216;S; 02:12:28 ; 03:05:46 ;24
217;217;J; 16:37:53 ; 18:32:56 ;11
218;218;S; 04:59:37 ; 06:00:57 ;1
219;219;V; 21:11:27 ; 23:22:35 ;9
220;220;S; 13:56:38 ; 14:50:15 ;17
221;221;D; 11:05:06 ; 12:26:23 ;8
222;222;D; 19:42:40 ; 21:40:38 ;3
223;223;D; 20:07:32 ; 21:25:25 ;3
224;224;S; 05:48:53 ; 06:43:23 ;30
225;225;D; 07:29:45 ; 09:17:12 ;11
226;226;V; 17:11:34 ; 18:59:04 ;30
227;227;D; 09:41:46 ; 10:43:00 ;17
228;228;S; 00:18:43 ; 02:38:05 ;16
229;229;D; 03:47:57 ; 05:07:08 ;1
230;230;D; 07:51:31 ; 09:53:10 ;7
231;231;I; 17:43:33 ; 19:01:25 ;6
232;232;J; 21:55:46 ; 22:58:53 ;8
233;233;D; 12:22:05 ; 14:17:39 ;9
234;234;D; 01:40:34 ; 03:01:54 ;7
235;235;I; 06:44:27 ; 07:25:36 ;7
236;236;I; 07:54:47 ; 10:13:51 ;17
237;237;D; 23:36:51 ; 02:03:27 ;25
238;238;D; 12:33:58 ; 14:40:48 ;9
239;239;D; 17:48:00 ; 18:30:19 ;6
240;240;D; 00:43:10 ; 01:39:13 ;12
241;241;D; 22:47:26 ; 12:08:52 ;3
242;242;D; 16:33:45 ; 17:18:49 ;28
243;243;D; 17:03:07 ; 19:18:02 ;26
244;244;V; 23:57:31 ; 01:01:32 ;6
245;245;S; 02:24:13 ; 04:02:09 ;23
246;246;D; 21:05:37 ; 22:50:17 ;17
247;247;S; 18:38:37 ; 20:06:01 ;1
248;248;S; 00:57:33 ; 03:21:03 ;27
249;249;D; 12:35:02 ; 13:38:58 ;16
250;250;D; 06:32:04 ; 08:53:18 ;28
251;251;S; 07:11:04 ; 07:55:43 ;6
252;252;S; 19:37:46 ; 20:24:04 ;5
253;253;V; 02:26:12 ; 03:21:58 ;5
254;254;S; 23:55:57 ; 12:56:09 ;18
255;255;S; 02:12:53 ; 02:52:17 ;7
256;256;S; 10:42:46 ; 11:55:58 ;30
257;257;D; 07:08:27 ; 09:24:01 ;17
258;258;D; 10:03:06 ; 10:42:01 ;30
259;259;D; 15:19:40 ; 17:27:18 ;9
260;260;D; 22:44:12 ; 23:24:25 ;15
261;261;D; 14:21:45 ; 15:29:33 ;29
262;262;V; 22:38:37 ; 12:21:56 ;22
263;263;S; 12:28:57 ; 14:11:26 ;8
264;264;D; 12:03:33 ; 12:57:46 ;28
265;265;V; 01:22:03 ; 02:20:48 ;10
266;266;D; 06:49:42 ; 09:00:08 ;17
267;267;J; 11:36:40 ; 12:22:54 ;7
268;268;D; 01:14:58 ; 02:52:47 ;25
269;269;D; 15:57:07 ; 17:19:54 ;15
270;270;S; 16:17:48 ; 16:48:26 ;6
271;271;S; 21:04:27 ; 21:55:17 ;27
272;272;D; 03:49:20 ; 04:23:15 ;13
273;273;D; 21:02:16 ; 23:18:45 ;27
274;274;D; 13:07:26 ; 14:49:17 ;26
275;275;J; 01:10:47 ; 02:11:53 ;8
276;276;J; 03:48:59 ; 04:39:51 ;12
277;277;V; 21:27:01 ; 22:19:50 ;12
278;278;S; 05:54:16 ; 06:40:54 ;23
279;279;D; 11:49:17 ; 13:53:18 ;20
280;280;V; 15:00:31 ; 16:12:49 ;4
281;281;D; 22:04:48 ; 12:17:32 ;22
282;282;I; 06:26:00 ; 07:24:01 ;1
283;283;J; 07:37:00 ; 08:41:41 ;7
284;284;D; 04:43:15 ; 05:34:16 ;27
285;285;D; 11:02:38 ; 11:51:20 ;10
286;286;S; 03:48:50 ; 04:35:32 ;23
287;287;S; 19:51:11 ; 21:46:04 ;10
288;288;V; 03:57:11 ; 04:55:35 ;29
289;289;D; 06:31:22 ; 07:41:40 ;28
290;290;D; 19:27:48 ; 20:12:57 ;7
291;291;D; 20:34:18 ; 22:52:44 ;25
292;292;S; 17:41:07 ; 19:48:21 ;16
293;293;V; 07:55:20 ; 08:33:17 ;19
294;294;D; 13:13:13 ; 15:37:37 ;7
295;295;D; 21:21:27 ; 22:14:14 ;9
296;296;J; 11:56:27 ; 13:35:08 ;9
297;297;V; 11:01:11 ; 12:22:54 ;15
298;298;D; 03:47:45 ; 05:39:54 ;18
299;299;D; 18:44:24 ; 20:59:38 ;20
300;300;S; 00:43:51 ; 02:35:02 ;28
301;301;V; 06:32:26 ; 08:13:22 ;24
302;302;S; 01:32:18 ; 03:44:15 ;14
303;303;D; 04:12:00 ; 05:17:07 ;24
304;304;D; 17:17:33 ; 18:17:10 ;23
305;305;J; 12:00:34 ; 14:14:10 ;19
306;306;S; 10:57:16 ; 11:32:45 ;26
307;307;D; 12:01:24 ; 02:10:24 ;5
308;308;V; 02:31:53 ; 03:21:15 ;28
309;309;V; 04:49:10 ; 06:00:38 ;28
310;310;S; 18:07:08 ; 19:18:12 ;28
311;311;S; 18:04:13 ; 20:21:04 ;26
312;312;D; 13:44:20 ; 15:03:06 ;25
313;313;S; 09:11:08 ; 10:32:40 ;20
314;314;D; 21:59:11 ; 23:38:22 ;6
315;315;S; 20:28:12 ; 22:35:06 ;30
316;316;V; 09:03:42 ; 11:05:04 ;8
317;317;D; 06:14:51 ; 08:16:32 ;30
318;318;V; 00:51:24 ; 01:23:14 ;3
319;319;D; 19:57:58 ; 21:27:21 ;3
320;320;I; 04:58:06 ; 07:15:16 ;6
321;321;D; 14:19:51 ; 15:47:28 ;27
322;322;V; 17:35:06 ; 18:14:56 ;7
323;323;J; 21:28:33 ; 23:21:41 ;3
324;324;S; 11:54:22 ; 13:08:47 ;23
325;325;V; 22:07:44 ; 23:55:31 ;13
326;326;J; 00:36:59 ; 01:56:17 ;3
327;327;D; 19:37:14 ; 21:16:28 ;10
328;328;V; 08:22:18 ; 10:47:02 ;22
329;329;D; 12:39:37 ; 14:58:43 ;26
330;330;J; 09:22:42 ; 11:27:49 ;29
331;331;D; 23:14:26 ; 23:55:58 ;23
332;332;D; 01:08:11 ; 03:24:50 ;30
333;333;D; 18:25:42 ; 20:07:38 ;2
334;334;V; 01:29:07 ; 03:05:09 ;15
335;335;J; 18:08:11 ; 19:50:22 ;30
336;336;D; 23:45:53 ; 01:28:32 ;18
337;337;D; 08:05:50 ; 09:50:55 ;1
338;338;V; 12:29:27 ; 14:55:01 ;18
339;339;I; 09:12:26 ; 10:51:41 ;12
340;340;V; 11:36:36 ; 13:11:10 ;2
341;341;D; 05:11:35 ; 05:56:15 ;9
342;342;D; 16:10:59 ; 17:14:25 ;27
343;343;S; 03:43:10 ; 04:38:26 ;14
344;344;D; 12:17:59 ; 12:56:49 ;15
345;345;D; 20:31:07 ; 22:54:48 ;12
346;346;D; 14:41:59 ; 15:54:40 ;17
347;347;S; 05:30:08 ; 06:26:17 ;29
348;348;S; 19:27:52 ; 20:18:16 ;7
349;349;D; 12:47:51 ; 13:41:51 ;9
350;350;D; 17:35:20 ; 19:09:18 ;14
351;351;S; 06:05:18 ; 06:38:07 ;7
352;352;S; 17:00:46 ; 19:26:16 ;8
353;353;D; 07:16:54 ; 09:45:10 ;5
354;354;D; 08:20:36 ; 09:17:35 ;10
355;355;D; 08:25:52 ; 09:34:56 ;26
356;356;D; 13:29:43 ; 15:51:06 ;27
357;357;D; 14:28:36 ; 15:40:44 ;28
358;358;D; 00:23:55 ; 00:56:00 ;24
359;359;I; 20:17:29 ; 21:32:39 ;14
360;360;D; 09:07:41 ; 09:46:49 ;21
361;361;I; 17:35:53 ; 19:42:17 ;26
362;362;D; 20:14:30 ; 21:46:52 ;7
363;363;J; 22:46:26 ; 12:46:17 ;11
364;364;I; 01:27:14 ; 03:15:14 ;13
365;365;J; 08:12:52 ; 09:48:23 ;21
366;366;D; 00:41:57 ; 02:41:10 ;22
367;367;V; 17:38:17 ; 19:53:52 ;22
368;368;J; 20:18:52 ; 22:05:35 ;13
369;369;D; 20:15:39 ; 21:22:59 ;17
370;370;S; 11:14:39 ; 12:54:03 ;25
371;371;D; 02:51:15 ; 04:57:30 ;9
372;372;D; 04:48:07 ; 06:59:06 ;10
373;373;J; 22:29:16 ; 12:03:19 ;12
374;374;S; 05:13:46 ; 06:55:03 ;24
375;375;D; 15:09:37 ; 16:42:07 ;7
376;376;S; 20:05:59 ; 22:30:26 ;19
377;377;S; 15:14:13 ; 17:00:49 ;30
378;378;S; 23:52:34 ; 01:01:54 ;14
379;379;D; 19:13:03 ; 21:17:45 ;17
380;380;D; 02:00:12 ; 03:32:44 ;25
381;381;S; 07:34:28 ; 09:05:52 ;25
382;382;S; 18:13:54 ; 19:37:15 ;16
383;383;S; 23:21:58 ; 23:53:27 ;19
384;384;M; 03:18:15 ; 05:31:15 ;29
385;385;S; 13:18:39 ; 14:12:45 ;16
386;386;J; 17:49:02 ; 19:35:46 ;2
387;387;D; 16:49:24 ; 18:52:36 ;8
388;388;V; 11:03:06 ; 12:42:15 ;14
389;389;S; 04:51:31 ; 07:10:30 ;15
390;390;D; 01:26:54 ; 02:11:32 ;25
391;391;D; 00:54:10 ; 02:26:46 ;30
392;392;S; 19:40:20 ; 21:15:25 ;13
393;393;D; 00:40:50 ; 01:59:22 ;20
394;394;D; 15:58:50 ; 17:24:54 ;18
395;395;S; 22:24:35 ; 23:13:26 ;9
396;396;D; 12:27:35 ; 14:29:24 ;29
397;397;D; 20:06:53 ; 21:45:37 ;15
398;398;D; 23:31:16 ; 12:37:44 ;1
399;399;S; 10:44:17 ; 12:55:40 ;9
400;400;S; 05:08:26 ; 06:41:15 ;15
401;401;S; 07:23:42 ; 09:50:40 ;24
402;402;S; 22:26:19 ; 23:55:05 ;15
403;403;D; 05:47:11 ; 07:09:46 ;18
404;404;S; 07:28:45 ; 08:48:00 ;15
405;405;D; 07:19:40 ; 09:05:39 ;29
406;406;D; 12:24:44 ; 13:31:21 ;17
407;407;D; 13:37:22 ; 14:46:30 ;27
408;408;D; 23:05:40 ; 12:27:16 ;7
409;409;D; 02:29:07 ; 04:06:41 ;7
410;410;D; 11:42:27 ; 12:50:28 ;3
411;411;D; 14:13:12 ; 15:53:31 ;8
412;412;D; 18:32:10 ; 20:20:08 ;28
413;413;D; 11:04:31 ; 12:25:25 ;22
414;414;S; 04:36:05 ; 06:31:00 ;5
415;415;D; 16:12:47 ; 17:47:16 ;19
416;416;D; 03:55:14 ; 06:16:15 ;6
417;417;D; 19:27:24 ; 20:21:20 ;17
418;418;S; 04:36:46 ; 05:36:42 ;4
419;419;D; 06:03:16 ; 07:07:41 ;2
420;420;S; 06:06:19 ; 08:32:18 ;29
421;421;S; 15:02:16 ; 16:14:19 ;27
422;422;S; 09:20:28 ; 11:38:57 ;11
423;423;D; 19:54:39 ; 20:33:57 ;23
424;424;V; 17:54:58 ; 19:50:38 ;3
425;425;D; 23:13:31 ; 01:10:21 ;5
426;426;V; 16:21:59 ; 18:38:21 ;5
427;427;D; 06:35:07 ; 07:14:15 ;26
428;428;V; 19:23:15 ; 21:43:31 ;23
429;429;D; 20:12:04 ; 21:35:20 ;28
430;430;S; 04:37:41 ; 07:06:05 ;19
431;431;D; 11:13:39 ; 13:06:33 ;24
432;432;J; 11:16:02 ; 13:16:22 ;17
433;433;D; 07:41:32 ; 09:19:42 ;6
434;434;D; 11:25:27 ; 12:11:51 ;27
435;435;D; 11:28:32 ; 12:25:57 ;18
436;436;D; 14:26:00 ; 16:54:14 ;17
437;437;D; 12:43:41 ; 13:40:14 ;28
438;438;S; 05:58:57 ; 07:25:11 ;4
439;439;V; 04:05:24 ; 04:38:52 ;2
440;440;D; 23:25:58 ; 01:34:31 ;18
441;441;V; 10:12:42 ; 11:40:03 ;28
442;442;V; 17:06:01 ; 18:40:24 ;12
443;443;S; 10:21:03 ; 11:15:19 ;27
444;444;D; 12:43:47 ; 14:12:37 ;18
445;445;D; 11:58:28 ; 14:01:21 ;27
446;446;V; 15:14:30 ; 17:03:03 ;13
447;447;M; 22:11:34 ; 12:02:58 ;29
448;448;J; 21:01:27 ; 23:22:26 ;10
449;449;V; 05:48:17 ; 07:48:55 ;12
450;450;S; 13:01:13 ; 13:45:45 ;4
451;451;S; 03:43:41 ; 06:01:53 ;7
452;452;S; 17:35:50 ; 18:08:52 ;20
453;453;V; 09:31:29 ; 10:49:29 ;13
454;454;D; 02:57:40 ; 04:57:52 ;2
455;455;S; 13:41:01 ; 15:06:43 ;18
456;456;J; 11:32:03 ; 12:17:39 ;27
457;457;D; 16:11:25 ; 17:16:27 ;24
458;458;S; 00:32:06 ; 02:29:34 ;3
459;459;S; 21:44:53 ; 23:59:08 ;30
460;460;S; 16:14:06 ; 16:55:57 ;7
461;461;S; 02:08:35 ; 02:53:48 ;1
462;462;S; 07:37:40 ; 09:56:26 ;11
463;463;D; 22:08:54 ; 22:49:40 ;27
464;464;S; 23:16:45 ; 23:57:10 ;17
465;465;D; 15:30:16 ; 17:31:55 ;6
466;466;V; 18:35:02 ; 19:53:29 ;13
467;467;D; 02:48:53 ; 05:04:00 ;20
468;468;D; 06:07:13 ; 08:21:42 ;29
469;469;M; 22:05:35 ; 22:49:58 ;22
470;470;D; 13:48:47 ; 15:05:56 ;12
471;471;J; 01:42:33 ; 04:08:34 ;2
472;472;D; 12:53:04 ; 15:04:02 ;1
473;473;J; 20:42:38 ; 23:00:03 ;19
474;474;D; 11:35:56 ; 14:00:21 ;7
475;475;V; 23:38:06 ; 12:56:23 ;7
476;476;D; 08:20:15 ; 10:43:19 ;17
477;477;D; 12:11:57 ; 14:17:27 ;1
478;478;D; 06:54:50 ; 08:56:41 ;26
479;479;D; 20:20:59 ; 21:20:21 ;22
480;480;S; 16:45:52 ; 18:16:58 ;13
481;481;D; 13:21:17 ; 15:00:35 ;20
482;482;D; 16:16:51 ; 18:00:47 ;4
483;483;D; 06:10:40 ; 07:13:19 ;15
484;484;D; 00:36:53 ; 02:32:16 ;27
485;485;J; 13:17:34 ; 14:30:48 ;26
486;486;D; 09:01:16 ; 11:29:46 ;17
487;487;V; 04:53:41 ; 05:51:01 ;7
488;488;D; 18:03:01 ; 20:26:01 ;28
489;489;D; 23:11:20 ; 01:15:44 ;21
490;490;D; 11:40:17 ; 13:12:42 ;18
491;491;D; 20:03:41 ; 22:21:00 ;25
492;492;D; 01:39:24 ; 02:31:42 ;25
493;493;D; 13:28:15 ; 15:47:38 ;19
494;494;D; 18:15:28 ; 19:52:45 ;26
495;495;D; 17:23:45 ; 19:10:15 ;9
496;496;M; 13:39:27 ; 14:55:18 ;26
497;497;D; 02:10:50 ; 04:10:14 ;28
498;498;D; 16:29:55 ; 18:48:34 ;5
499;499;D; 14:28:48 ; 15:09:15 ;7
500;500;S; 15:47:41 ; 16:19:29 ;18
501;501;D; 14:18:25 ; 16:43:39 ;22
502;502;D; 23:58:33 ; 12:54:27 ;9
503;503;J; 09:37:50 ; 11:12:36 ;14
504;504;D; 00:07:10 ; 02:32:34 ;6
505;505;D; 15:01:46 ; 16:50:50 ;5
506;506;V; 04:50:11 ; 06:23:29 ;22
507;507;D; 22:13:05 ; 23:44:56 ;4
508;508;S; 07:38:52 ; 08:54:12 ;22
509;509;D; 02:14:21 ; 04:01:46 ;17
510;510;I; 22:28:05 ; 12:19:59 ;12
511;511;V; 20:54:06 ; 22:12:31 ;2
512;512;S; 16:51:45 ; 19:11:44 ;29
513;513;D; 10:27:54 ; 11:33:11 ;8
514;514;V; 21:22:29 ; 23:45:03 ;21
515;515;S; 14:36:50 ; 16:38:10 ;27
516;516;D; 20:56:52 ; 22:16:07 ;19
517;517;S; 02:47:46 ; 04:07:04 ;8
518;518;D; 04:57:58 ; 07:12:16 ;26
519;519;D; 14:16:13 ; 15:00:40 ;27
520;520;D; 05:59:16 ; 07:15:43 ;20
521;521;V; 01:42:10 ; 03:14:18 ;30
522;522;D; 23:44:19 ; 12:21:27 ;18
523;523;D; 20:06:33 ; 20:38:57 ;24
524;524;V; 03:10:07 ; 05:21:42 ;2
525;525;D; 02:21:53 ; 03:23:54 ;29
526;526;D; 10:52:48 ; 11:25:15 ;12
527;527;D; 16:10:46 ; 18:17:25 ;23
528;528;S; 18:40:24 ; 20:00:24 ;10
529;529;D; 08:25:40 ; 10:13:59 ;16
530;530;D; 20:50:32 ; 22:37:18 ;3
531;531;S; 11:04:16 ; 12:12:26 ;10
532;532;V; 22:47:07 ; 23:54:10 ;20
533;533;S; 12:01:00 ; 14:21:31 ;23
534;534;J; 22:37:18 ; 12:26:12 ;21
535;535;D; 16:22:42 ; 16:53:59 ;13
