"ID","ID_CONSULTA","ID_CONSULTA_URGENCIA","ID_HOSPITALIZACION","ID_EXAMENES","ID_TERAPIAS","ID_PROCEDIMIENTO_ESPECIALIZADO","ID_IPS","HABILITADO"
1073,1073,,,,,,83,"T"
1074,1074,,,,,,38,"T"
1075,1075,,,,,,17,"F"
1076,1076,,,,,,67,"F"
1077,1077,,,,,,26,"F"
1078,1078,,,,,,94,"F"
1079,1079,,,,,,14,"F"
1080,1080,,,,,,55,"T"
1081,1081,,,,,,40,"F"
1082,1082,,,,,,3,"T"
1083,1083,,,,,,9,"F"
1084,1084,,,,,,100,"F"
1085,1085,,,,,,54,"F"
1086,1086,,,,,,78,"T"
1087,1087,,,,,,20,"F"
1088,1088,,,,,,84,"T"
1089,1089,,,,,,41,"F"
1090,1090,,,,,,100,"T"
1091,1091,,,,,,14,"F"
1092,1092,,,,,,84,"F"
1093,1093,,,,,,52,"T"
1094,1094,,,,,,74,"T"
1095,1095,,,,,,66,"F"
1096,1096,,,,,,20,"T"
1097,1097,,,,,,7,"F"
1098,1098,,,,,,85,"F"
1099,1099,,,,,,70,"T"
1100,1100,,,,,,38,"F"
1101,1101,,,,,,40,"T"
1102,1102,,,,,,39,"T"
1103,1103,,,,,,47,"F"
1104,1104,,,,,,56,"F"
1105,1105,,,,,,30,"T"
1106,1106,,,,,,78,"F"
1107,1107,,,,,,75,"T"
1108,1108,,,,,,14,"T"
1109,1109,,,,,,75,"F"
1110,1110,,,,,,97,"F"
1111,1111,,,,,,35,"F"
1112,1112,,,,,,30,"T"
1113,1113,,,,,,17,"T"
1114,1114,,,,,,74,"F"
1115,1115,,,,,,56,"T"
1116,1116,,,,,,71,"F"
1117,1117,,,,,,7,"F"
1118,1118,,,,,,44,"F"
1119,1119,,,,,,63,"T"
1120,1120,,,,,,49,"T"
1121,1121,,,,,,50,"T"
1122,1122,,,,,,45,"T"
1123,1123,,,,,,93,"T"
1124,1124,,,,,,15,"F"
1125,1125,,,,,,70,"T"
1126,1126,,,,,,70,"F"
1127,1127,,,,,,81,"T"
1128,1128,,,,,,23,"T"
1129,1129,,,,,,49,"F"
1130,1130,,,,,,77,"T"
1131,1131,,,,,,57,"T"
1132,1132,,,,,,89,"F"
1133,1133,,,,,,37,"T"
1134,1134,,,,,,34,"T"
1135,1135,,,,,,58,"T"
1136,1136,,,,,,12,"F"
1137,1137,,,,,,37,"F"
1138,1138,,,,,,19,"F"
1139,1139,,,,,,67,"T"
1140,1140,,,,,,4,"T"
1141,1141,,,,,,41,"T"
1142,1142,,,,,,25,"T"
1143,1143,,,,,,4,"T"
1144,1144,,,,,,40,"T"
1145,1145,,,,,,48,"F"
1146,1146,,,,,,53,"T"
1147,1147,,,,,,81,"T"
1148,1148,,,,,,27,"F"
1149,1149,,,,,,14,"F"
1150,1150,,,,,,81,"T"
1151,1151,,,,,,96,"T"
1152,1152,,,,,,3,"T"
1153,1153,,,,,,48,"F"
1154,1154,,,,,,60,"T"
1155,1155,,,,,,87,"F"
1156,1156,,,,,,62,"F"
1157,1157,,,,,,49,"F"
1158,1158,,,,,,46,"T"
1159,1159,,,,,,22,"T"
1160,1160,,,,,,82,"T"
1161,1161,,,,,,20,"T"
1162,1162,,,,,,49,"T"
1163,1163,,,,,,74,"T"
1164,1164,,,,,,95,"T"
1165,1165,,,,,,61,"F"
1166,1166,,,,,,77,"F"
1167,1167,,,,,,56,"F"
1168,1168,,,,,,21,"F"
1169,1169,,,,,,78,"T"
1170,1170,,,,,,59,"F"
1171,1171,,,,,,79,"T"
1172,1172,,,,,,85,"T"
1173,1173,,,,,,58,"T"
1174,1174,,,,,,5,"F"
1175,1175,,,,,,10,"F"
1176,1176,,,,,,83,"T"
1177,1177,,,,,,11,"T"
1178,1178,,,,,,74,"F"
1179,1179,,,,,,99,"F"
1180,1180,,,,,,60,"F"
1181,1181,,,,,,36,"T"
1182,1182,,,,,,47,"T"
1183,1183,,,,,,69,"T"
1184,1184,,,,,,68,"T"
1185,1185,,,,,,41,"F"
1186,1186,,,,,,59,"F"
1187,1187,,,,,,69,"T"
1188,1188,,,,,,34,"F"
1189,1189,,,,,,42,"F"
1190,1190,,,,,,80,"T"
1191,1191,,,,,,83,"T"
1192,1192,,,,,,52,"F"
1193,1193,,,,,,25,"T"
1194,1194,,,,,,68,"F"
1195,1195,,,,,,45,"F"
1196,1196,,,,,,92,"T"
1197,1197,,,,,,62,"F"
1198,1198,,,,,,92,"T"
1199,1199,,,,,,65,"F"
1200,1200,,,,,,12,"F"
1201,,1,,,,,70,"F"
1202,,2,,,,,87,"F"
1203,,3,,,,,41,"T"
1204,,4,,,,,30,"T"
1205,,5,,,,,84,"T"
1206,,6,,,,,32,"F"
1207,,7,,,,,57,"T"
1208,,8,,,,,56,"F"
1209,,9,,,,,78,"F"
1210,,10,,,,,56,"T"
1211,,11,,,,,70,"F"
1212,,12,,,,,96,"F"
1213,,13,,,,,94,"F"
1214,,14,,,,,74,"T"
1215,,15,,,,,7,"T"
1216,,16,,,,,91,"T"
1217,,17,,,,,22,"F"
1218,,18,,,,,40,"T"
1219,,19,,,,,47,"T"
1220,,20,,,,,66,"T"
1221,,21,,,,,40,"F"
1222,,22,,,,,82,"T"
1223,,23,,,,,51,"F"
1224,,24,,,,,2,"F"
1225,,25,,,,,8,"T"
1226,,26,,,,,47,"T"
1227,,27,,,,,9,"F"
1228,,28,,,,,99,"T"
1229,,29,,,,,20,"F"
1230,,30,,,,,45,"T"
1231,,31,,,,,96,"T"
1232,,32,,,,,83,"F"
1233,,33,,,,,96,"F"
1234,,34,,,,,84,"F"
1235,,35,,,,,5,"F"
1236,,36,,,,,52,"T"
1237,,37,,,,,16,"F"
1238,,38,,,,,60,"T"
1239,,39,,,,,22,"F"
1240,,40,,,,,42,"T"
1241,,41,,,,,54,"T"
1242,,42,,,,,23,"F"
1243,,43,,,,,66,"F"
1244,,44,,,,,74,"T"
1245,,45,,,,,96,"F"
1246,,46,,,,,75,"F"
1247,,47,,,,,1,"F"
1248,,48,,,,,63,"T"
1249,,49,,,,,41,"F"
1250,,50,,,,,35,"T"
1251,,51,,,,,40,"F"
1252,,52,,,,,49,"T"
1253,,53,,,,,67,"F"
1254,,54,,,,,9,"T"
1255,,55,,,,,58,"T"
1256,,56,,,,,6,"T"
1257,,57,,,,,74,"F"
1258,,58,,,,,62,"F"
1259,,59,,,,,74,"F"
1260,,60,,,,,68,"F"
1261,,61,,,,,59,"T"
1262,,62,,,,,79,"T"
1263,,63,,,,,73,"F"
1264,,64,,,,,96,"T"
1265,,65,,,,,33,"F"
1266,,66,,,,,19,"T"
1267,,67,,,,,66,"F"
1268,,68,,,,,42,"T"
1269,,69,,,,,47,"F"
1270,,70,,,,,38,"T"
1271,,71,,,,,52,"F"
1272,,72,,,,,27,"T"
1273,,73,,,,,5,"T"
1274,,74,,,,,52,"T"
1275,,75,,,,,19,"T"
1276,,76,,,,,94,"F"
1277,,77,,,,,44,"T"
1278,,78,,,,,9,"F"
1279,,79,,,,,18,"F"
1280,,80,,,,,15,"F"
1281,,81,,,,,43,"T"
1282,,82,,,,,100,"T"
1283,,83,,,,,28,"T"
1284,,84,,,,,24,"T"
1285,,85,,,,,71,"F"
1286,,86,,,,,43,"F"
1287,,87,,,,,52,"T"
1288,,88,,,,,67,"T"
1289,,89,,,,,67,"T"
1290,,90,,,,,77,"F"
1291,,91,,,,,25,"T"
1292,,92,,,,,54,"T"
1293,,93,,,,,9,"T"
1294,,94,,,,,72,"F"
1295,,95,,,,,27,"F"
1296,,96,,,,,76,"F"
1297,,97,,,,,60,"F"
1298,,98,,,,,98,"T"
1299,,99,,,,,84,"T"
1300,,100,,,,,11,"F"
1301,,101,,,,,81,"T"
1302,,102,,,,,83,"T"
1303,,103,,,,,72,"T"
1304,,104,,,,,37,"T"
1305,,105,,,,,38,"T"
1306,,106,,,,,91,"T"
1307,,107,,,,,80,"T"
1308,,108,,,,,73,"F"
1309,,109,,,,,48,"F"
1310,,110,,,,,93,"F"
1311,,111,,,,,70,"T"
1312,,112,,,,,11,"F"
1313,,113,,,,,79,"F"
1314,,114,,,,,3,"F"
1315,,115,,,,,11,"T"
1316,,116,,,,,31,"T"
1317,,117,,,,,27,"T"
1318,,118,,,,,64,"T"
1319,,119,,,,,73,"F"
1320,,120,,,,,27,"F"
1321,,121,,,,,57,"T"
1322,,122,,,,,96,"F"
1323,,123,,,,,5,"F"
1324,,124,,,,,1,"T"
1325,,125,,,,,80,"F"
1326,,126,,,,,43,"T"
1327,,127,,,,,75,"F"
1328,,128,,,,,63,"T"
1329,,129,,,,,91,"F"
1330,,130,,,,,82,"F"
1331,,131,,,,,77,"T"
1332,,132,,,,,35,"F"
1333,,133,,,,,81,"F"
1334,,134,,,,,100,"T"
1335,,135,,,,,15,"F"
1336,,136,,,,,47,"F"
1337,,137,,,,,91,"F"
1338,,138,,,,,5,"T"
1339,,139,,,,,54,"T"
1340,,140,,,,,78,"T"
1341,,141,,,,,32,"T"
1342,,142,,,,,92,"T"
1343,,143,,,,,78,"T"
1344,,144,,,,,28,"F"
1345,,145,,,,,32,"T"
1346,,146,,,,,5,"F"
1347,,147,,,,,9,"F"
1348,,148,,,,,2,"F"
1349,,149,,,,,46,"F"
1350,,150,,,,,22,"T"
1351,,151,,,,,72,"T"
1352,,152,,,,,4,"F"
1353,,153,,,,,77,"F"
1354,,154,,,,,95,"T"
1355,,155,,,,,56,"T"
1356,,156,,,,,11,"F"
1357,,157,,,,,18,"F"
1358,,158,,,,,27,"F"
1359,,159,,,,,48,"T"
1360,,160,,,,,15,"F"
1361,,161,,,,,69,"F"
1362,,162,,,,,42,"T"
1363,,163,,,,,60,"T"
1364,,164,,,,,82,"F"
1365,,165,,,,,20,"F"
1366,,166,,,,,92,"T"
1367,,167,,,,,77,"T"
1368,,168,,,,,22,"T"
1369,,169,,,,,17,"T"
1370,,170,,,,,89,"F"
1371,,171,,,,,2,"T"
1372,,172,,,,,13,"F"
1373,,173,,,,,19,"T"
1374,,174,,,,,71,"T"
1375,,175,,,,,90,"F"
1376,,176,,,,,6,"F"
1377,,177,,,,,45,"F"
1378,,178,,,,,49,"T"
1379,,179,,,,,72,"T"
1380,,180,,,,,7,"T"
1381,,181,,,,,76,"F"
1382,,182,,,,,43,"T"
1383,,183,,,,,17,"F"
1384,,184,,,,,10,"T"
1385,,185,,,,,50,"F"
1386,,186,,,,,64,"F"
1387,,187,,,,,48,"T"
1388,,188,,,,,22,"T"
1389,,189,,,,,69,"F"
1390,,190,,,,,43,"T"
1391,,191,,,,,96,"F"
1392,,192,,,,,9,"T"
1393,,193,,,,,2,"F"
1394,,194,,,,,46,"F"
1395,,195,,,,,82,"F"
1396,,196,,,,,94,"T"
1397,,197,,,,,21,"T"
1398,,198,,,,,43,"T"
1399,,199,,,,,35,"F"
1400,,200,,,,,60,"F"
1401,,201,,,,,29,"F"
1402,,202,,,,,31,"F"
1403,,203,,,,,37,"T"
1404,,204,,,,,53,"T"
1405,,205,,,,,92,"F"
1406,,206,,,,,34,"T"
1407,,207,,,,,57,"F"
1408,,208,,,,,3,"T"
1409,,209,,,,,6,"T"
1410,,210,,,,,68,"F"
1411,,211,,,,,89,"F"
1412,,212,,,,,4,"T"
1413,,213,,,,,82,"T"
1414,,214,,,,,75,"F"
1415,,215,,,,,20,"T"
1416,,216,,,,,97,"F"
1417,,217,,,,,40,"F"
1418,,218,,,,,69,"T"
1419,,219,,,,,22,"F"
1420,,220,,,,,82,"T"
1421,,221,,,,,95,"F"
1422,,222,,,,,19,"T"
1423,,223,,,,,30,"F"
1424,,224,,,,,11,"T"
1425,,225,,,,,12,"T"
1426,,226,,,,,31,"F"
1427,,227,,,,,89,"T"
1428,,228,,,,,83,"T"
1429,,229,,,,,79,"T"
1430,,230,,,,,33,"T"
1431,,231,,,,,35,"F"
1432,,232,,,,,75,"T"
1433,,233,,,,,61,"F"
1434,,234,,,,,19,"F"
1435,,235,,,,,73,"T"
1436,,236,,,,,52,"T"
1437,,237,,,,,39,"T"
1438,,238,,,,,64,"T"
1439,,239,,,,,55,"F"
1440,,240,,,,,96,"T"
1441,,241,,,,,50,"F"
1442,,242,,,,,2,"T"
1443,,243,,,,,68,"T"
1444,,244,,,,,34,"F"
1445,,245,,,,,99,"F"
1446,,246,,,,,61,"T"
1447,,247,,,,,37,"F"
1448,,248,,,,,70,"F"
1449,,249,,,,,20,"F"
1450,,250,,,,,82,"F"
1451,,251,,,,,61,"T"
1452,,252,,,,,51,"T"
1453,,253,,,,,84,"F"
1454,,254,,,,,10,"F"
1455,,255,,,,,4,"F"
1456,,256,,,,,23,"T"
1457,,257,,,,,3,"F"
1458,,258,,,,,76,"F"
1459,,259,,,,,40,"T"
1460,,260,,,,,14,"F"
1461,,261,,,,,38,"F"
1462,,262,,,,,8,"T"
1463,,263,,,,,67,"F"
1464,,264,,,,,100,"F"
1465,,265,,,,,20,"F"
1466,,266,,,,,18,"F"
1467,,267,,,,,3,"T"
1468,,268,,,,,99,"F"
1469,,269,,,,,41,"T"
1470,,270,,,,,27,"F"
1471,,271,,,,,56,"F"
1472,,272,,,,,1,"T"
1473,,273,,,,,82,"F"
1474,,274,,,,,32,"T"
1475,,275,,,,,57,"F"
1476,,276,,,,,56,"T"
1477,,277,,,,,17,"F"
1478,,278,,,,,79,"T"
1479,,279,,,,,40,"T"
1480,,280,,,,,59,"T"
1481,,281,,,,,86,"F"
1482,,282,,,,,46,"F"
1483,,283,,,,,64,"T"
1484,,284,,,,,36,"T"
1485,,285,,,,,51,"T"
1486,,286,,,,,16,"T"
1487,,287,,,,,77,"T"
1488,,288,,,,,6,"T"
1489,,289,,,,,41,"F"
1490,,290,,,,,81,"T"
1491,,291,,,,,12,"F"
1492,,292,,,,,78,"T"
1493,,293,,,,,34,"T"
1494,,294,,,,,45,"T"
1495,,295,,,,,34,"T"
1496,,296,,,,,63,"T"
1497,,297,,,,,81,"F"
1498,,298,,,,,46,"F"
1499,,299,,,,,49,"F"
1500,,300,,,,,76,"F"
1501,,301,,,,,28,"T"
1502,,302,,,,,65,"F"
1503,,303,,,,,8,"T"
1504,,304,,,,,65,"T"
1505,,305,,,,,62,"F"
1506,,306,,,,,39,"T"
1507,,307,,,,,48,"F"
1508,,308,,,,,56,"F"
1509,,309,,,,,80,"T"
1510,,310,,,,,3,"T"
1511,,311,,,,,63,"F"
1512,,312,,,,,4,"T"
1513,,313,,,,,4,"F"
1514,,314,,,,,43,"F"
1515,,315,,,,,84,"T"
1516,,316,,,,,69,"T"
1517,,317,,,,,74,"T"
1518,,318,,,,,25,"T"
256,256,,,,,,98,"F"
257,257,,,,,,87,"T"
258,258,,,,,,73,"F"
259,259,,,,,,31,"T"
260,260,,,,,,4,"F"
261,261,,,,,,84,"T"
262,262,,,,,,67,"F"
263,263,,,,,,54,"T"
264,264,,,,,,78,"T"
265,265,,,,,,26,"F"
266,266,,,,,,28,"F"
267,267,,,,,,21,"T"
268,268,,,,,,7,"F"
269,269,,,,,,25,"T"
270,270,,,,,,61,"T"
271,271,,,,,,91,"F"
272,272,,,,,,28,"F"
273,273,,,,,,10,"T"
274,274,,,,,,74,"T"
275,275,,,,,,9,"F"
276,276,,,,,,85,"F"
277,277,,,,,,22,"T"
278,278,,,,,,62,"T"
279,279,,,,,,8,"T"
280,280,,,,,,98,"T"
281,281,,,,,,67,"F"
282,282,,,,,,41,"F"
283,283,,,,,,82,"T"
1,1,,,,,,34,"T"
2,2,,,,,,76,"T"
3,3,,,,,,72,"F"
4,4,,,,,,4,"T"
5,5,,,,,,38,"T"
6,6,,,,,,82,"T"
7,7,,,,,,71,"F"
8,8,,,,,,13,"F"
9,9,,,,,,82,"T"
10,10,,,,,,75,"F"
11,11,,,,,,64,"T"
12,12,,,,,,71,"T"
13,13,,,,,,55,"F"
14,14,,,,,,63,"F"
15,15,,,,,,34,"T"
16,16,,,,,,97,"T"
17,17,,,,,,63,"T"
18,18,,,,,,24,"F"
19,19,,,,,,83,"F"
20,20,,,,,,36,"F"
21,21,,,,,,45,"T"
22,22,,,,,,28,"T"
23,23,,,,,,48,"T"
24,24,,,,,,18,"F"
25,25,,,,,,79,"T"
26,26,,,,,,44,"T"
27,27,,,,,,36,"T"
28,28,,,,,,14,"T"
29,29,,,,,,23,"T"
30,30,,,,,,51,"T"
31,31,,,,,,72,"F"
32,32,,,,,,54,"T"
33,33,,,,,,5,"F"
34,34,,,,,,83,"T"
35,35,,,,,,84,"F"
36,36,,,,,,63,"F"
37,37,,,,,,95,"T"
38,38,,,,,,71,"F"
39,39,,,,,,34,"T"
40,40,,,,,,27,"F"
41,41,,,,,,82,"F"
42,42,,,,,,74,"T"
43,43,,,,,,49,"F"
44,44,,,,,,52,"T"
45,45,,,,,,29,"F"
46,46,,,,,,26,"F"
47,47,,,,,,43,"T"
48,48,,,,,,24,"F"
49,49,,,,,,19,"T"
50,50,,,,,,88,"F"
51,51,,,,,,25,"T"
52,52,,,,,,55,"T"
53,53,,,,,,43,"T"
54,54,,,,,,67,"T"
55,55,,,,,,21,"T"
56,56,,,,,,10,"F"
57,57,,,,,,21,"F"
58,58,,,,,,56,"T"
59,59,,,,,,25,"F"
60,60,,,,,,90,"F"
61,61,,,,,,30,"T"
62,62,,,,,,30,"T"
63,63,,,,,,40,"T"
64,64,,,,,,23,"F"
65,65,,,,,,97,"T"
66,66,,,,,,70,"T"
67,67,,,,,,40,"T"
68,68,,,,,,91,"F"
69,69,,,,,,23,"T"
70,70,,,,,,25,"T"
71,71,,,,,,57,"T"
72,72,,,,,,30,"T"
73,73,,,,,,75,"T"
74,74,,,,,,61,"T"
75,75,,,,,,16,"F"
76,76,,,,,,9,"F"
77,77,,,,,,44,"T"
78,78,,,,,,86,"F"
79,79,,,,,,35,"F"
80,80,,,,,,67,"F"
81,81,,,,,,8,"T"
82,82,,,,,,97,"F"
83,83,,,,,,39,"F"
84,84,,,,,,93,"T"
85,85,,,,,,10,"T"
86,86,,,,,,70,"F"
87,87,,,,,,25,"F"
88,88,,,,,,99,"F"
89,89,,,,,,34,"T"
90,90,,,,,,51,"F"
91,91,,,,,,6,"F"
92,92,,,,,,17,"F"
93,93,,,,,,16,"F"
94,94,,,,,,55,"T"
95,95,,,,,,26,"T"
96,96,,,,,,55,"T"
97,97,,,,,,28,"F"
98,98,,,,,,36,"T"
99,99,,,,,,11,"T"
100,100,,,,,,73,"T"
101,101,,,,,,16,"F"
102,102,,,,,,85,"F"
103,103,,,,,,47,"T"
104,104,,,,,,18,"T"
105,105,,,,,,29,"F"
106,106,,,,,,78,"F"
107,107,,,,,,88,"T"
108,108,,,,,,51,"F"
109,109,,,,,,64,"F"
110,110,,,,,,52,"T"
111,111,,,,,,43,"F"
112,112,,,,,,66,"T"
113,113,,,,,,66,"F"
114,114,,,,,,39,"T"
115,115,,,,,,86,"F"
116,116,,,,,,4,"F"
117,117,,,,,,8,"F"
118,118,,,,,,54,"T"
119,119,,,,,,33,"T"
120,120,,,,,,8,"F"
121,121,,,,,,76,"T"
122,122,,,,,,68,"F"
123,123,,,,,,42,"F"
124,124,,,,,,39,"F"
125,125,,,,,,8,"T"
126,126,,,,,,51,"F"
127,127,,,,,,4,"F"
128,128,,,,,,16,"F"
129,129,,,,,,70,"F"
130,130,,,,,,2,"F"
131,131,,,,,,94,"T"
132,132,,,,,,16,"T"
133,133,,,,,,97,"T"
134,134,,,,,,8,"F"
135,135,,,,,,70,"T"
136,136,,,,,,95,"F"
137,137,,,,,,86,"F"
138,138,,,,,,3,"F"
139,139,,,,,,32,"T"
140,140,,,,,,77,"F"
141,141,,,,,,18,"T"
142,142,,,,,,69,"T"
143,143,,,,,,64,"F"
144,144,,,,,,70,"T"
145,145,,,,,,29,"T"
146,146,,,,,,18,"F"
147,147,,,,,,52,"T"
148,148,,,,,,34,"T"
149,149,,,,,,71,"F"
150,150,,,,,,96,"T"
151,151,,,,,,36,"T"
152,152,,,,,,44,"T"
153,153,,,,,,24,"F"
154,154,,,,,,53,"T"
155,155,,,,,,82,"F"
156,156,,,,,,42,"T"
157,157,,,,,,69,"T"
158,158,,,,,,28,"F"
159,159,,,,,,81,"F"
160,160,,,,,,87,"F"
161,161,,,,,,3,"F"
162,162,,,,,,24,"T"
163,163,,,,,,14,"F"
164,164,,,,,,95,"F"
165,165,,,,,,94,"F"
166,166,,,,,,1,"T"
167,167,,,,,,76,"F"
168,168,,,,,,33,"F"
169,169,,,,,,27,"T"
170,170,,,,,,9,"F"
171,171,,,,,,3,"T"
172,172,,,,,,6,"T"
173,173,,,,,,92,"F"
174,174,,,,,,44,"F"
175,175,,,,,,44,"T"
176,176,,,,,,56,"F"
177,177,,,,,,85,"T"
178,178,,,,,,33,"T"
179,179,,,,,,62,"T"
180,180,,,,,,78,"T"
181,181,,,,,,35,"F"
182,182,,,,,,72,"F"
183,183,,,,,,63,"T"
184,184,,,,,,32,"T"
185,185,,,,,,2,"T"
186,186,,,,,,87,"F"
187,187,,,,,,79,"T"
188,188,,,,,,30,"T"
189,189,,,,,,28,"F"
190,190,,,,,,64,"F"
191,191,,,,,,75,"F"
192,192,,,,,,22,"F"
193,193,,,,,,68,"F"
194,194,,,,,,80,"T"
195,195,,,,,,12,"T"
196,196,,,,,,45,"F"
197,197,,,,,,27,"F"
198,198,,,,,,68,"F"
199,199,,,,,,95,"T"
200,200,,,,,,51,"T"
201,201,,,,,,89,"T"
202,202,,,,,,88,"T"
203,203,,,,,,83,"T"
204,204,,,,,,41,"F"
205,205,,,,,,99,"T"
206,206,,,,,,91,"T"
207,207,,,,,,94,"F"
208,208,,,,,,87,"T"
209,209,,,,,,93,"F"
210,210,,,,,,17,"F"
211,211,,,,,,84,"T"
212,212,,,,,,92,"T"
213,213,,,,,,75,"F"
214,214,,,,,,13,"T"
215,215,,,,,,81,"T"
216,216,,,,,,67,"T"
217,217,,,,,,6,"T"
218,218,,,,,,8,"T"
219,219,,,,,,62,"F"
220,220,,,,,,69,"F"
221,221,,,,,,47,"T"
222,222,,,,,,53,"T"
223,223,,,,,,79,"F"
224,224,,,,,,53,"F"
225,225,,,,,,16,"T"
226,226,,,,,,19,"F"
227,227,,,,,,19,"F"
228,228,,,,,,41,"F"
229,229,,,,,,91,"F"
230,230,,,,,,95,"T"
231,231,,,,,,52,"F"
232,232,,,,,,27,"F"
233,233,,,,,,1,"T"
234,234,,,,,,44,"F"
235,235,,,,,,57,"F"
236,236,,,,,,84,"F"
237,237,,,,,,58,"T"
238,238,,,,,,2,"F"
239,239,,,,,,18,"T"
240,240,,,,,,56,"F"
241,241,,,,,,20,"T"
242,242,,,,,,71,"F"
243,243,,,,,,80,"F"
244,244,,,,,,35,"F"
245,245,,,,,,57,"F"
246,246,,,,,,93,"T"
247,247,,,,,,65,"F"
248,248,,,,,,59,"F"
249,249,,,,,,49,"F"
250,250,,,,,,88,"F"
251,251,,,,,,13,"F"
252,252,,,,,,77,"F"
253,253,,,,,,43,"F"
254,254,,,,,,32,"T"
255,255,,,,,,76,"T"
284,284,,,,,,13,"F"
285,285,,,,,,62,"F"
286,286,,,,,,60,"T"
287,287,,,,,,92,"T"
288,288,,,,,,50,"T"
289,289,,,,,,27,"F"
290,290,,,,,,33,"F"
291,291,,,,,,1,"F"
292,292,,,,,,52,"T"
293,293,,,,,,33,"F"
294,294,,,,,,34,"F"
295,295,,,,,,32,"T"
296,296,,,,,,37,"T"
297,297,,,,,,59,"F"
298,298,,,,,,82,"T"
299,299,,,,,,41,"F"
300,300,,,,,,99,"F"
301,301,,,,,,61,"T"
302,302,,,,,,14,"F"
303,303,,,,,,26,"F"
304,304,,,,,,40,"T"
305,305,,,,,,21,"T"
306,306,,,,,,62,"T"
307,307,,,,,,57,"T"
308,308,,,,,,21,"F"
309,309,,,,,,37,"T"
