duracion,dia,id_servicio,ID_IPS,capacidad,capacidad_max,horainicio
27,30/07/2016 4:36,81,8,14,28,19:24:25
9,30/01/2011 8:36,82,97,20,24,15:23:59
90,6/10/2010 23:50,83,39,10,15,15:51:40
73,15/03/2019 10:43,84,93,13,20,8:44:19
58,25/09/2011 15:16,85,10,17,18,11:36:08
5,25/12/2012 15:07,86,70,19,17,11:26:49
60,13/09/2011 16:05,87,25,22,11,8:42:30
70,29/11/2010 2:31,88,99,6,5,0:49:08
45,13/12/2016 13:44,89,34,2,4,14:08:24
18,14/03/2016 14:18,90,51,4,2,7:40:05
13,5/02/2011 10:24,91,6,23,19,9:58:20
27,7/05/2014 20:39,92,17,27,28,0:47:29
74,19/11/2009 0:11,93,16,3,4,6:20:22
32,7/03/2018 17:03,94,55,10,7,1:42:26
40,26/07/2014 12:51,95,26,7,2,15:40:30
87,5/08/2013 20:14,96,55,16,17,12:07:40
68,9/05/2018 14:07,97,28,18,25,3:49:10
22,7/07/2019 19:24,98,36,24,5,20:11:43
72,2/01/2017 23:07,99,11,2,22,6:44:37
47,17/05/2013 10:08,100,73,29,19,0:22:05
41,2/03/2012 1:15,101,16,2,13,10:48:57
20,29/05/2016 20:18,102,85,20,30,15:18:19
10,7/12/2018 18:29,103,47,30,2,11:26:54
1,13/02/2019 7:27,104,18,7,30,22:41:30
28,16/02/2011 19:37,105,29,27,16,12:59:56
32,27/05/2010 15:45,106,78,25,17,14:36:49
7,28/02/2010 11:36,107,88,11,2,20:59:34
16,29/02/2012 14:49,108,51,6,7,4:51:29
54,18/12/2018 2:57,109,64,20,23,8:13:37
32,19/04/2014 16:43,110,52,17,1,14:18:19
50,16/06/2016 12:52,111,43,2,3,7:34:38
26,18/01/2014 12:15,112,66,7,17,22:40:06
22,16/06/2012 0:43,113,66,5,14,0:18:01
63,22/06/2011 23:18,114,39,13,1,11:30:11
15,24/02/2015 17:44,115,86,4,15,22:36:54
7,30/09/2018 20:38,116,4,5,3,22:11:19
31,16/08/2015 7:19,117,8,6,24,11:04:07
21,10/05/2013 11:34,118,54,5,29,3:48:39
58,14/02/2010 3:38,119,33,17,10,6:15:41
11,26/04/2019 2:39,120,8,14,25,9:50:53
24,16/01/2016 20:05,121,76,9,23,7:40:52
63,16/09/2016 7:33,122,68,26,12,16:09:32
21,6/07/2014 2:23,123,42,13,17,4:09:39
4,23/11/2018 12:31,124,39,7,15,5:17:48
29,9/01/2017 23:40,125,8,11,16,0:00:09
53,16/08/2018 10:10,126,51,14,30,20:36:33
87,31/12/2011 1:20,127,4,8,29,15:07:24
16,16/11/2011 10:28,128,16,19,13,11:11:44
42,3/12/2015 5:44,129,70,19,19,2:07:17
44,3/11/2013 5:48,130,2,24,25,6:46:46
81,14/01/2011 12:20,131,94,26,21,21:25:00
40,22/03/2017 11:26,132,16,22,6,13:54:56
52,15/07/2018 13:00,133,97,14,3,19:19:09
68,24/03/2018 7:51,134,8,22,11,4:45:13
57,16/03/2014 1:35,135,70,30,16,3:17:03
44,10/09/2013 4:30,136,95,15,10,13:32:18
11,7/07/2017 0:38,137,86,11,14,19:45:27
48,24/12/2010 1:22,138,3,15,15,4:52:36
12,27/10/2017 10:21,139,32,3,2,22:05:30
2,12/09/2019 9:19,140,77,8,9,4:31:18
57,23/12/2015 12:08,141,18,14,27,1:15:35
31,13/07/2017 21:07,142,69,2,28,14:58:09
54,14/10/2012 16:53,143,64,20,10,19:55:35
23,20/10/2011 4:28,144,70,11,7,15:25:17
73,30/05/2014 19:38,145,29,23,9,17:00:04
47,11/03/2017 21:36,146,18,20,12,4:23:41
4,22/02/2019 3:50,147,52,11,17,17:37:58
18,20/05/2018 10:42,148,34,29,12,5:01:11
86,10/02/2013 16:24,149,71,24,25,16:17:46
15,11/11/2018 21:07,150,96,24,14,11:30:24
17,10/04/2019 14:36,151,36,22,29,1:37:41
9,23/08/2014 17:15,152,44,30,7,15:26:41
55,3/02/2010 5:49,153,24,2,2,13:56:54
56,4/12/2011 20:56,154,53,27,4,5:18:11
2,23/01/2013 11:29,155,82,30,14,11:28:54
60,20/11/2012 3:04,156,42,8,28,16:15:34
27,26/02/2015 8:58,157,69,12,20,22:00:09
9,7/02/2015 13:37,158,28,11,1,5:56:21
85,8/10/2010 15:17,159,81,5,8,9:07:46
53,25/07/2013 6:45,160,87,1,8,8:31:53
88,17/06/2010 20:22,161,3,13,4,21:53:18
30,27/11/2010 13:03,162,24,2,12,19:49:03
71,7/04/2013 7:20,163,14,2,21,12:08:05
21,26/02/2014 2:02,164,95,15,13,7:48:19
51,8/10/2012 5:27,165,94,18,21,2:26:37
13,4/04/2019 9:07,166,1,12,14,7:35:11
10,6/06/2014 22:05,167,76,28,10,3:51:10
57,5/08/2011 21:25,168,33,19,2,22:21:43
64,1/06/2010 13:16,169,27,9,5,18:14:10
38,20/06/2017 4:56,170,9,25,2,2:54:47
65,19/09/2013 16:44,171,3,19,2,7:46:32
35,12/03/2018 15:17,172,6,4,24,21:17:49
5,7/07/2014 20:23,173,92,26,28,19:13:55
37,15/09/2015 21:27,174,44,29,1,19:15:41
80,24/02/2010 11:21,175,44,17,3,0:27:34
41,21/02/2010 3:18,176,56,9,7,3:22:34
82,6/07/2019 22:46,177,85,2,12,1:01:53
65,14/08/2015 2:20,178,33,29,26,15:27:53
28,23/03/2017 4:50,179,62,14,30,5:51:52
0,15/08/2016 23:34,180,78,19,12,18:14:33
70,18/01/2015 23:36,181,35,20,2,18:22:39
36,12/01/2015 2:24,182,72,21,26,6:24:48
74,29/08/2018 7:46,183,63,27,9,8:32:08
35,11/02/2013 16:18,184,32,29,12,7:44:51
55,21/08/2013 21:15,185,2,8,1,9:17:12
49,12/08/2014 13:07,186,87,11,2,3:10:08
32,18/07/2018 6:31,187,79,14,6,10:19:33
61,20/08/2011 10:21,188,30,10,22,9:12:14
36,3/07/2014 23:00,189,28,18,28,9:13:48
89,22/07/2014 21:36,190,64,25,15,3:23:32
0,9/07/2014 12:11,191,75,10,5,5:39:33
64,15/09/2012 12:35,192,22,16,27,1:56:54
9,9/01/2014 12:36,193,68,24,7,9:47:50
45,4/11/2015 12:19,194,80,26,23,4:27:05
35,29/01/2017 12:52,195,12,9,4,12:58:13
30,20/08/2013 23:57,196,45,20,22,9:37:01
61,26/09/2011 2:21,197,27,24,19,5:47:04
69,7/06/2017 18:23,198,68,12,14,4:21:53
46,28/09/2011 1:55,199,95,22,18,18:44:39
33,5/11/2019 15:45,200,51,15,17,7:52:46
78,28/04/2014 23:39,201,89,9,5,14:54:03
80,27/09/2017 6:05,202,88,12,3,8:48:58
43,29/01/2019 6:43,203,83,23,26,11:11:21
40,11/11/2019 17:12,204,41,2,8,8:10:26
70,29/01/2016 6:46,205,99,8,3,21:51:14
14,13/12/2015 12:50,206,91,4,23,21:18:45
27,14/02/2016 11:25,207,94,9,28,1:58:49
39,18/10/2014 4:25,208,87,4,8,21:28:28
8,7/11/2018 20:38,209,93,7,21,23:26:50
48,21/11/2016 9:28,210,17,5,16,4:06:30
60,8/02/2013 4:22,211,84,1,12,16:12:46
69,29/11/2018 21:44,212,92,2,30,20:04:43
88,13/07/2015 7:38,213,75,12,28,13:50:45
90,11/07/2016 20:58,214,13,27,20,22:18:16
12,24/12/2013 10:45,215,81,3,24,9:14:44
62,17/09/2013 17:27,216,67,28,10,9:04:27
89,2/02/2012 1:09,217,6,11,1,19:37:55
33,27/04/2017 6:34,218,8,22,9,9:10:03
88,6/04/2014 16:44,219,62,14,12,3:57:15
72,1/05/2010 15:13,220,69,26,3,8:43:59
52,29/07/2017 14:33,221,47,19,7,8:38:14
78,18/06/2012 10:50,222,53,8,22,7:30:15
52,23/12/2015 7:29,223,79,1,30,9:51:23
42,20/06/2010 15:53,224,53,2,23,6:59:26
78,30/03/2015 15:06,225,16,5,11,2:50:09
30,25/07/2015 21:25,226,19,12,2,17:10:08
43,13/02/2015 1:42,227,19,15,14,7:18:16
4,10/07/2018 1:39,228,41,1,22,3:15:25
71,7/12/2013 21:02,229,91,1,12,14:08:34
38,1/12/2011 11:14,230,95,10,10,1:50:00
25,31/07/2010 11:38,231,52,17,9,16:56:58
22,1/11/2014 10:36,232,27,1,4,9:22:50
79,26/05/2011 13:56,233,1,28,13,14:28:53
60,24/12/2015 10:03,234,44,23,12,18:08:37
53,5/04/2011 8:06,235,57,26,4,3:38:37
66,26/04/2015 21:47,236,84,2,8,20:45:33
23,27/12/2016 17:50,237,58,5,29,20:19:16
3,10/10/2017 18:26,238,2,5,8,6:33:39
28,12/08/2013 9:57,239,18,3,26,22:35:04
20,29/11/2017 4:53,240,56,7,6,17:28:43
54,29/01/2014 11:00,241,20,27,7,17:46:15
41,25/11/2019 10:21,242,71,12,12,17:22:43
68,12/07/2010 14:33,243,80,20,17,11:32:52
4,18/11/2010 14:58,244,35,14,15,16:16:52
16,20/09/2013 6:20,245,57,27,4,21:10:35
43,18/01/2017 1:27,246,93,9,10,19:24:51
23,19/11/2016 4:39,247,65,26,18,3:52:27
89,28/03/2014 10:50,248,59,9,11,1:44:50
44,2/11/2015 19:24,249,49,30,19,13:39:02
23,10/07/2012 6:59,250,88,17,24,15:08:46
82,2/01/2017 10:27,251,13,9,30,23:33:54
29,8/04/2014 23:36,252,77,3,1,14:24:48
46,3/02/2013 6:34,253,43,5,17,10:31:12
57,1/12/2018 2:13,254,32,28,14,2:59:04
70,14/01/2014 4:03,255,76,28,7,17:39:53
13,9/06/2014 9:27,256,98,27,27,10:16:32
7,25/12/2012 20:52,257,87,20,7,14:16:56
27,21/03/2016 16:02,258,73,24,11,1:05:07
22,21/01/2018 9:13,259,31,30,29,6:52:07
61,16/09/2017 10:16,260,4,22,4,6:38:44
38,19/12/2012 14:16,261,84,11,9,1:44:10
49,12/08/2018 17:09,262,67,28,1,1:04:24
64,25/10/2016 12:08,263,54,16,8,19:02:22
52,29/08/2016 4:25,264,78,23,19,17:36:20
80,12/02/2019 13:20,265,26,3,20,7:13:46
29,28/10/2019 10:17,266,28,13,26,9:12:02
36,27/04/2015 5:40,267,21,19,7,9:55:19
60,23/03/2010 5:20,268,7,16,18,9:15:19
37,7/07/2018 18:05,269,25,17,22,17:36:40
3,11/08/2011 9:09,270,61,29,15,3:29:53
22,27/01/2017 2:17,271,91,9,16,7:32:45
48,23/09/2010 8:14,272,28,23,2,0:04:16
7,7/03/2012 11:11,273,10,4,26,14:35:49
81,15/02/2013 19:13,274,74,21,5,21:46:51
19,7/01/2014 2:21,275,9,30,12,0:32:11
50,17/08/2019 8:24,276,85,26,11,2:21:27
74,13/01/2018 15:06,277,22,8,12,0:04:26
61,23/08/2013 9:01,278,62,8,18,14:29:29
22,15/03/2018 9:13,279,8,27,26,19:07:48
80,9/03/2017 1:49,280,98,4,6,16:00:12
74,5/03/2015 9:16,281,67,14,1,17:43:04
3,13/07/2018 0:07,282,41,22,18,8:27:22
17,2/01/2018 3:35,283,82,12,23,8:52:55
82,18/06/2013 18:14,284,13,22,29,15:09:05
50,5/12/2016 5:17,285,62,23,16,6:37:45
65,4/10/2010 18:43,286,60,22,27,7:38:22
39,17/06/2017 13:48,287,92,3,10,22:18:19
53,6/06/2015 16:08,288,50,19,30,14:29:13
57,20/11/2014 19:28,289,27,1,28,0:08:32
57,26/10/2016 12:23,290,33,14,17,9:14:14
57,16/05/2011 14:41,291,1,18,11,13:13:11
80,1/10/2011 2:42,292,52,10,20,2:06:39
69,19/09/2013 15:16,293,33,3,29,17:43:49
77,17/04/2019 13:28,294,34,3,19,4:56:34
72,17/08/2013 6:46,295,32,16,27,22:07:09
34,31/05/2013 2:24,296,37,20,10,22:42:23
27,22/06/2013 4:10,297,59,30,1,9:21:32
35,2/06/2011 11:45,298,82,19,8,11:27:45
18,14/03/2016 6:54,299,41,19,10,6:18:56
49,26/02/2017 15:04,300,99,21,13,0:05:31
66,22/02/2017 17:19,301,61,3,28,1:43:52
16,27/02/2014 13:27,302,14,1,8,20:31:14
44,27/08/2017 1:13,303,26,3,12,9:25:23
33,8/09/2015 13:26,304,40,24,24,11:26:45
47,16/11/2010 6:48,305,21,14,22,21:04:45
51,22/10/2010 7:22,306,62,4,4,16:03:03
87,24/04/2014 13:10,307,57,20,1,16:26:40
51,3/09/2016 17:04,308,21,6,10,0:04:26
64,23/08/2010 4:19,309,37,23,21,21:53:15
53,19/11/2018 16:11,310,80,5,12,8:27:16
68,27/09/2013 4:37,311,8,11,12,23:47:13
90,21/07/2017 14:06,312,96,21,17,18:02:49
71,5/06/2015 7:14,313,20,26,29,12:35:08
65,4/09/2016 1:03,314,25,20,10,1:46:51
86,12/06/2019 4:00,315,80,9,11,2:50:42
41,26/07/2018 4:57,316,26,11,22,22:50:03
38,9/07/2011 1:27,317,40,5,16,17:14:22
83,4/05/2011 7:44,318,56,4,13,0:12:30
18,27/03/2010 7:32,319,95,20,28,21:10:14
47,2/09/2016 19:40,320,47,13,1,11:31:51
19,30/05/2019 23:32,321,74,4,23,19:43:04
69,5/01/2014 17:42,322,10,27,26,20:24:40
42,23/10/2012 6:23,323,80,5,10,6:49:42
44,30/12/2010 22:26,324,82,30,12,20:09:13
18,9/03/2015 19:08,325,86,27,13,9:40:06
13,20/04/2011 9:47,326,11,20,24,11:52:58
47,23/04/2013 5:32,327,76,27,17,2:31:19
71,31/08/2018 11:34,328,64,22,12,18:26:13
19,1/04/2018 19:37,329,66,26,30,6:29:52
72,10/06/2013 4:23,330,26,2,13,21:10:44
71,5/12/2010 20:58,331,42,3,12,6:43:47
6,4/07/2018 18:23,332,1,16,18,1:34:37
29,7/05/2016 19:30,333,25,10,4,12:36:31
35,1/11/2013 18:19,334,24,12,26,14:01:19
37,28/06/2017 3:56,335,86,6,19,13:48:08
50,21/11/2015 18:51,336,73,9,10,7:36:17
56,9/10/2015 23:24,337,73,20,7,4:40:21
83,19/06/2019 2:41,338,85,8,9,17:59:18
0,8/11/2013 14:13,339,47,23,3,1:57:57
67,12/06/2010 8:00,340,42,29,25,8:49:26
68,22/09/2017 0:40,341,99,20,5,6:03:03
23,4/01/2018 15:36,342,27,20,9,22:28:35
69,30/07/2014 23:29,343,100,17,18,5:12:57
89,13/03/2015 18:56,344,19,11,1,17:10:54
60,10/05/2016 6:39,345,58,6,17,7:13:10
69,1/06/2014 16:18,346,49,16,22,23:12:05
4,11/02/2017 19:51,347,66,6,2,23:18:18
83,22/06/2014 14:05,348,43,11,26,10:40:21
75,27/09/2017 21:57,349,60,8,17,5:41:40
60,27/05/2010 21:08,350,56,16,27,6:44:47
89,18/09/2018 7:23,351,53,20,14,9:17:08
44,5/09/2013 0:34,352,39,15,17,13:25:38
59,21/06/2010 2:33,353,76,13,4,12:46:13
30,28/11/2017 22:00,354,85,11,15,16:10:44
27,20/04/2019 4:15,355,91,22,11,20:08:57
73,12/09/2019 4:57,356,72,1,10,17:55:54
27,12/10/2010 23:45,357,94,24,16,16:51:45
64,24/06/2011 0:56,358,23,4,15,5:14:39
53,20/12/2013 9:44,359,58,16,16,18:04:09
2,4/06/2015 8:15,360,84,10,23,21:48:58
38,29/11/2010 23:47,361,8,4,12,15:20:28
85,12/12/2014 5:12,362,36,27,7,6:16:00
7,14/04/2015 18:24,363,33,21,28,13:17:12
8,30/08/2014 7:25,364,93,25,15,23:24:52
0,19/07/2019 9:25,365,32,17,27,4:28:43
4,21/01/2013 8:56,366,80,23,10,16:00:31
72,3/02/2014 7:43,367,63,25,21,20:01:19
80,3/06/2012 6:26,368,32,17,2,0:36:57
64,2/03/2015 11:29,369,69,4,20,6:36:29
76,28/04/2018 19:41,370,91,4,26,23:31:23
85,3/12/2018 19:51,371,68,18,5,10:20:20
32,4/03/2012 20:48,372,77,2,30,7:03:11
78,1/05/2018 17:06,373,16,10,26,9:59:19
55,19/06/2010 7:24,374,49,9,3,15:03:52
43,30/10/2011 7:41,375,41,25,10,0:25:35
21,11/12/2009 13:13,376,67,5,8,17:37:37
86,9/09/2018 6:06,377,45,1,3,16:52:57
45,10/08/2019 6:21,378,23,7,9,19:25:54
46,26/06/2016 8:06,379,31,9,22,22:00:27
80,12/04/2014 22:39,380,18,6,27,4:32:38
68,26/10/2013 15:18,381,47,12,24,1:01:03
61,19/01/2014 15:27,382,85,4,2,20:46:53
1,12/05/2017 2:45,383,76,15,23,14:32:04
80,1/06/2018 5:47,384,37,29,16,13:42:17
28,2/07/2016 12:54,385,8,18,23,2:45:58
5,16/09/2010 3:10,386,21,5,10,4:31:00
57,21/08/2012 16:55,387,24,27,2,4:49:09
79,23/12/2010 16:40,388,58,13,22,3:12:10
19,2/03/2012 8:57,389,37,9,8,7:24:17
1,7/04/2018 5:08,390,91,24,30,22:55:15
50,17/07/2010 11:36,391,59,6,1,5:17:49
74,3/07/2015 8:13,392,90,27,30,3:34:06
86,16/12/2018 4:49,393,92,28,5,11:01:32
61,25/06/2018 14:00,394,22,2,16,7:36:29
80,13/11/2014 2:46,395,19,20,12,4:21:04
16,1/07/2011 12:07,396,77,9,10,0:18:44
9,5/09/2014 13:24,397,57,9,3,11:49:00
46,1/09/2018 0:13,398,6,17,4,18:45:20
42,27/11/2019 2:10,399,46,1,24,8:21:06
44,6/12/2011 2:41,400,60,11,1,2:38:08
46,22/05/2013 4:55,401,37,24,6,4:50:14
6,28/11/2018 9:06,402,70,3,4,20:13:49
75,18/02/2019 9:46,403,52,26,4,13:10:28
71,27/11/2014 7:10,404,38,11,26,19:09:45
61,10/07/2011 17:54,405,34,3,30,19:14:00
23,18/05/2019 18:48,406,35,14,16,10:15:43
14,22/06/2017 3:56,407,23,7,19,13:45:21
29,9/06/2011 5:08,408,36,12,3,16:49:04
2,23/07/2013 20:21,409,16,1,8,12:26:45
89,1/04/2013 12:00,410,22,28,2,20:08:57
4,27/06/2016 22:23,411,34,11,17,18:03:13
55,22/12/2014 13:07,412,66,28,8,11:10:33
50,28/12/2014 20:20,413,54,14,27,11:00:14
1,14/04/2019 6:19,414,23,30,27,12:28:00
84,13/06/2014 16:00,415,67,12,10,17:18:44
46,19/06/2012 1:36,416,51,3,14,18:24:53
12,11/10/2016 21:07,417,40,24,8,6:47:08
4,17/05/2018 18:52,418,84,19,17,3:17:37
87,18/03/2014 18:18,419,76,3,10,22:58:57
27,16/07/2012 10:04,420,16,18,14,11:44:03
63,9/10/2012 23:38,421,72,21,18,13:05:08
60,30/01/2010 21:09,422,31,12,13,19:55:18
9,9/02/2019 12:42,423,66,10,30,11:01:35
79,15/06/2012 10:40,424,90,26,6,10:25:25
4,16/03/2010 5:59,425,41,29,8,19:15:44
32,8/09/2018 17:04,426,70,12,3,12:57:17
90,15/11/2010 12:10,427,29,8,5,5:40:16
54,29/11/2010 11:03,428,99,26,2,23:57:46
48,5/11/2010 23:54,429,31,6,17,1:35:12
25,23/01/2017 9:11,430,4,24,5,10:50:23
41,11/08/2016 19:43,431,28,25,25,21:54:18
58,6/05/2013 15:12,432,16,24,18,20:06:32
33,23/12/2017 21:50,433,39,1,10,9:27:21
82,8/10/2010 22:38,434,41,2,5,21:00:50
55,24/12/2009 6:54,435,8,8,11,23:54:24
37,9/09/2014 1:27,436,79,27,25,5:36:10
50,2/03/2011 10:40,437,1,13,27,17:44:00
7,12/02/2012 8:13,438,27,29,10,11:16:53
40,25/01/2011 21:43,439,54,18,21,21:55:46
25,2/03/2018 18:42,440,99,27,13,17:31:23
77,20/02/2017 8:40,441,65,15,20,6:07:22
80,22/09/2019 3:24,442,76,3,15,20:29:09
18,22/06/2015 6:56,443,22,16,2,0:04:00
54,18/03/2017 21:09,444,18,23,23,21:10:26
12,17/01/2012 23:11,445,86,9,23,2:51:43
86,27/09/2015 19:20,446,32,27,27,22:24:52
48,23/06/2017 2:39,447,21,28,26,6:09:54
86,15/09/2012 14:03,448,19,12,9,16:50:15
6,7/10/2015 22:08,449,69,14,19,14:36:06
66,4/01/2015 5:17,450,83,8,11,22:54:44
5,18/03/2011 18:01,451,85,20,5,7:28:37
88,27/01/2011 4:08,452,69,11,11,0:58:48
73,6/05/2016 3:41,453,38,2,23,23:47:58
50,20/04/2011 1:54,454,69,13,30,12:24:05
14,3/12/2010 9:28,455,46,8,4,7:58:46
42,24/08/2015 19:59,456,21,23,24,2:51:27
53,25/07/2017 12:14,457,50,30,7,15:51:55
46,16/05/2014 12:55,458,97,30,29,12:49:18
36,29/04/2010 9:10,459,51,13,14,18:44:40
69,7/10/2017 16:23,460,6,28,21,19:21:31
44,21/05/2016 7:13,461,13,20,30,20:08:03
20,24/10/2010 3:04,462,36,25,23,1:37:52
21,13/03/2017 20:46,463,48,8,19,20:00:07
26,1/12/2016 19:24,464,24,28,16,11:33:38
44,24/10/2013 14:40,465,54,6,16,19:00:46
27,29/03/2011 12:18,466,13,23,7,16:25:10
69,22/03/2018 4:18,467,28,4,22,2:52:09
45,12/09/2010 14:46,468,61,3,28,1:27:37
11,26/12/2018 12:26,469,39,2,18,8:39:32
71,22/09/2015 23:51,470,79,7,22,9:24:59
42,30/11/2013 3:55,471,82,15,10,10:27:52
60,24/03/2011 3:09,472,32,19,19,2:32:59
64,22/06/2017 6:53,473,22,13,14,12:37:06
82,16/07/2018 20:21,474,30,23,16,2:19:06
81,25/06/2013 15:48,475,24,2,9,9:59:27
56,7/02/2012 18:57,476,4,14,17,15:07:09
72,5/02/2016 10:52,477,55,23,10,21:02:22
81,8/03/2011 13:55,478,49,27,5,6:57:00
61,28/01/2014 20:08,479,3,21,17,23:55:18
79,8/11/2014 1:43,480,99,10,23,3:40:13
51,18/11/2015 1:30,481,37,10,16,11:49:05
63,14/11/2018 10:36,482,39,10,29,2:55:42
3,21/01/2018 7:09,483,73,24,4,23:57:56
31,19/12/2017 14:42,484,3,28,5,11:34:21
81,13/06/2011 2:59,485,21,1,1,22:18:13
0,15/03/2011 21:18,486,63,7,8,8:51:58
14,13/01/2012 8:23,487,42,16,29,4:14:47
33,8/01/2019 9:39,488,8,22,20,12:00:42
36,6/01/2013 6:07,489,27,26,2,2:15:40
28,12/08/2013 13:00,490,58,24,27,7:37:36
10,20/07/2015 13:44,491,86,12,24,0:28:26
40,11/12/2011 21:34,492,22,25,24,10:45:29
56,16/08/2016 0:45,493,19,21,13,10:56:12
20,7/12/2018 15:20,494,94,29,6,13:59:02
51,13/11/2014 8:34,495,26,28,1,12:11:33
46,8/04/2018 1:14,496,98,11,8,19:50:23
35,12/11/2009 21:43,497,86,23,1,16:58:38
23,16/03/2017 16:07,498,87,27,11,20:10:38
57,21/12/2018 15:57,499,29,19,18,18:41:01
13,20/01/2013 11:33,500,2,4,25,1:56:32
36,4/03/2015 14:48,501,57,11,18,20:25:56
20,9/04/2011 9:10,502,48,4,3,17:04:41
47,11/05/2019 23:15,503,85,22,5,10:26:52
15,17/09/2011 6:11,504,7,19,20,17:35:46
85,26/02/2013 11:09,505,9,25,1,18:26:28
41,20/03/2012 0:23,506,37,3,5,15:59:38
33,26/03/2014 8:09,507,81,23,1,11:33:07
78,9/06/2016 22:19,508,55,11,6,23:25:58
63,29/01/2015 23:22,509,85,12,29,5:12:41
73,31/10/2012 12:04,510,22,17,8,5:05:30
85,9/12/2013 18:53,511,19,22,5,15:44:52
29,11/07/2010 23:58,512,40,26,9,3:27:20
83,28/04/2019 9:41,513,84,29,26,18:10:44
64,5/09/2013 15:31,514,50,16,12,9:55:59
45,8/12/2011 17:53,515,81,29,14,17:55:03
